entrez	ensgene	symbol	chr	start	end	strand	biotype	description
79007	ENSG00000003249	DBNDD1	16	90071273	90086536	-1	protein_coding	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]
57679	ENSG00000003393	ALS2	2	202565277	202645912	-1	protein_coding	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]
843	ENSG00000003400	CASP10	2	202047604	202094129	1	protein_coding	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]
8837	ENSG00000003402	CFLAR	2	201980827	202041410	1	protein_coding	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]
7035	ENSG00000003436	TFPI	2	188328957	188430487	-1	protein_coding	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]
55471	ENSG00000003509	NDUFAF7	2	37458774	37480546	1	protein_coding	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]
10181	ENSG00000003756	RBM5	3	50126341	50156454	1	protein_coding	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]
9108	ENSG00000003987	MTMR7	8	17155539	17271037	-1	protein_coding	myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]
6542	ENSG00000003989	SLC7A2	8	17354597	17428082	1	protein_coding	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]
381	ENSG00000004059	ARF5	7	127228399	127231759	1	protein_coding	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]
23098	ENSG00000004139	SARM1	17	26691378	26728065	1	protein_coding	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]
26073	ENSG00000004142	POLDIP2	17	26673659	26684545	-1	protein_coding	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]
23129	ENSG00000004399	PLXND1	3	129274018	129325661	-1	protein_coding	plexin D1 [Source:HGNC Symbol;Acc:9107]
204	ENSG00000004455	AK2	1	33473585	33546597	-1	protein_coding	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]
952	ENSG00000004468	CD38	4	15779898	15854853	1	protein_coding	CD38 molecule [Source:HGNC Symbol;Acc:1667]
2288	ENSG00000004478	FKBP4	12	2904119	2914576	1	protein_coding	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]
23028	ENSG00000004487	KDM1A	1	23345941	23410182	1	protein_coding	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]
10180	ENSG00000004534	RBM6	3	49977440	50137478	1	protein_coding	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]
84254	ENSG00000004660	CAMKK1	17	3763609	3798185	-1	protein_coding	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]
5965	ENSG00000004700	RECQL	12	21621845	21654603	-1	protein_coding	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]
55610	ENSG00000004766	CCDC132	7	92861653	92988338	1	protein_coding	coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]
126393	ENSG00000004776	HSPB6	19	36245469	36248980	-1	protein_coding	heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:26511]
115703	ENSG00000004777	ARHGAP33	19	36265434	36279724	1	protein_coding	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]
4706	ENSG00000004779	NDUFAB1	16	23592323	23607677	-1	protein_coding	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]
5166	ENSG00000004799	PDK4	7	95212811	95225803	-1	protein_coding	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]
85413	ENSG00000004809	SLC22A16	6	110745890	110797844	-1	protein_coding	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]
51364	ENSG00000004838	ZMYND10	3	50378541	50384283	-1	protein_coding	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]
340273	ENSG00000004846	ABCB5	7	20654830	20816658	1	protein_coding	ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]
170302	ENSG00000004848	ARX	X	25021811	25034065	-1	protein_coding	aristaless related homeobox [Source:HGNC Symbol;Acc:18060]
10165	ENSG00000004864	SLC25A13	7	95749532	95951459	-1	protein_coding	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]
102466616	ENSG00000004866	ST7	7	116593292	116870157	1	protein_coding	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]
93655	ENSG00000004866	ST7	7	116593292	116870157	1	protein_coding	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]
7982	ENSG00000004866	ST7	7	116593292	116870157	1	protein_coding	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]
996	ENSG00000004897	CDC27	17	45195069	45266788	-1	protein_coding	cell division cycle 27 [Source:HGNC Symbol;Acc:1728]
6521	ENSG00000004939	SLC4A1	17	42325753	42345509	-1	protein_coding	solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]
799	ENSG00000004948	CALCR	7	93053799	93204042	-1	protein_coding	calcitonin receptor [Source:HGNC Symbol;Acc:1440]
3052	ENSG00000004961	HCCS	X	11129421	11141198	1	protein_coding	holocytochrome c synthase [Source:HGNC Symbol;Acc:4837]
1856	ENSG00000004975	DVL2	17	7128660	7137864	-1	protein_coding	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:3086]
64063	ENSG00000005001	PRSS22	16	2902728	2908171	-1	protein_coding	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]
5976	ENSG00000005007	UPF1	19	18942747	18979045	1	protein_coding	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]
8935	ENSG00000005020	SKAP2	7	26706681	27034858	-1	protein_coding	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]
292	ENSG00000005022	SLC25A5	X	118602363	118605282	1	protein_coding	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:10991]
55013	ENSG00000005059	CCDC109B	4	110481361	110609874	1	protein_coding	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]
3207	ENSG00000005073	HOXA11	7	27221129	27224842	-1	protein_coding	homeobox A11 [Source:HGNC Symbol;Acc:5101]
5439	ENSG00000005075	POLR2J	7	102113565	102119354	-1	protein_coding	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]
56919	ENSG00000005100	DHX33	17	5344232	5372380	-1	protein_coding	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]
4222	ENSG00000005102	MEOX1	17	41717756	41739322	-1	protein_coding	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]
221981	ENSG00000005108	THSD7A	7	11409984	11871824	-1	protein_coding	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:22207]
3980	ENSG00000005156	LIG3	17	33307513	33332083	1	protein_coding	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]
79657	ENSG00000005175	RPAP3	12	48057070	48099844	-1	protein_coding	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]
6296	ENSG00000005187	ACSM3	16	20621565	20808903	1	protein_coding	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]
81691	ENSG00000005189	AC004381.6	16	20817751	20860987	1	protein_coding	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]
57019	ENSG00000005194	CIAPIN1	16	57462081	57481440	-1	protein_coding	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]
80256	ENSG00000005238	FAM214B	9	35104109	35116338	-1	protein_coding	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]
51226	ENSG00000005243	COPZ2	17	46103533	46115392	-1	protein_coding	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]
5577	ENSG00000005249	PRKAR2B	7	106685094	106802256	1	protein_coding	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]
10943	ENSG00000005302	MSL3	X	11776278	11793870	1	protein_coding	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:7370]
1387	ENSG00000005339	CREBBP	16	3775055	3930727	-1	protein_coding	CREB binding protein [Source:HGNC Symbol;Acc:2348]
9256	ENSG00000005379	BZRAP1	17	56378592	56406152	-1	protein_coding	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]
4353	ENSG00000005381	MPO	17	56347217	56358296	-1	protein_coding	myeloperoxidase [Source:HGNC Symbol;Acc:7218]
5444	ENSG00000005421	PON1	7	94926988	95025673	-1	protein_coding	paraoxonase 1 [Source:HGNC Symbol;Acc:9204]
6936	ENSG00000005436	GCFC2	2	75879126	75938115	-1	protein_coding	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]
84058	ENSG00000005448	WDR54	2	74648805	74652882	1	protein_coding	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]
54677	ENSG00000005469	CROT	7	86974997	87029111	1	protein_coding	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]
5244	ENSG00000005471	ABCB4	7	87031013	87109751	-1	protein_coding	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]
55904	ENSG00000005483	KMT2E	7	104654626	104754808	1	protein_coding	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:18541]
57414	ENSG00000005486	RHBDD2	7	75471920	75518244	1	protein_coding	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]
30812	ENSG00000005513	SOX8	16	1031808	1036979	1	protein_coding	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]
25998	ENSG00000005700	IBTK	6	82879700	82957471	-1	protein_coding	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]
7748	ENSG00000005801	ZNF195	11	3360491	3400448	-1	protein_coding	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]
23077	ENSG00000005810	MYCBP2	13	77618792	77901185	-1	protein_coding	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]
26224	ENSG00000005812	FBXL3	13	77566740	77601330	-1	protein_coding	F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]
3683	ENSG00000005844	ITGAL	16	30483979	30534506	1	protein_coding	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]
5164	ENSG00000005882	PDK2	17	48172101	48189516	1	protein_coding	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]
3675	ENSG00000005884	ITGA3	17	48133332	48167845	1	protein_coding	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]
7543	ENSG00000005889	ZFX	X	24167290	24234372	1	protein_coding	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:12869]
3920	ENSG00000005893	LAMP2	X	119561682	119603220	-1	protein_coding	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:6501]
79893	ENSG00000005955	GGNBP2	17	34900737	34946278	1	protein_coding	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]
3674	ENSG00000005961	ITGA2B	17	42449548	42466873	-1	protein_coding	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]
51666	ENSG00000005981	ASB4	7	95107756	95169544	1	protein_coding	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]
51573	ENSG00000006007	GDE1	16	19513015	19533467	-1	protein_coding	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]
55049	ENSG00000006015	C19orf60	19	18699495	18703146	1	protein_coding	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]
9244	ENSG00000006016	CRLF1	19	18683030	18718551	-1	protein_coding	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]
114881	ENSG00000006025	OSBPL7	17	45884738	45899200	-1	protein_coding	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]
26022	ENSG00000006042	TMEM98	17	31254928	31272124	1	protein_coding	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]
51087	ENSG00000006047	YBX2	17	7191571	7197934	-1	protein_coding	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]
3883	ENSG00000006059	KRT33A	17	39502344	39507064	-1	protein_coding	keratin 33A [Source:HGNC Symbol;Acc:6450]
6833	ENSG00000006071	ABCC8	11	17414432	17498449	-1	protein_coding	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]
6362	ENSG00000006074	CCL18	17	34391640	34399392	1	protein_coding	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) [Source:HGNC Symbol;Acc:10616]
6348	ENSG00000006075	CCL3	17	34415602	34417515	-1	protein_coding	chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]
11276	ENSG00000006114	SYNRG	17	35874900	35969544	-1	protein_coding	synergin, gamma [Source:HGNC Symbol;Acc:557]
10368	ENSG00000006116	CACNG3	16	24266874	24374122	1	protein_coding	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]
54972	ENSG00000006118	TMEM132A	11	60691935	60704631	1	protein_coding	transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]
163	ENSG00000006125	AP2B1	17	33905065	34053436	1	protein_coding	adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]
6863	ENSG00000006128	TAC1	7	97361220	97369784	1	protein_coding	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]
10127	ENSG00000006194	ZNF263	16	3313743	3351401	1	protein_coding	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]
6376	ENSG00000006210	CX3CL1	16	57406370	57418960	1	protein_coding	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]
64847	ENSG00000006282	SPATA20	17	48620419	48633213	1	protein_coding	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]
8913	ENSG00000006283	CACNA1G	17	48638429	48704835	1	protein_coding	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]
51330	ENSG00000006327	TNFRSF12A	16	3068446	3072384	1	protein_coding	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]
1750	ENSG00000006377	DLX6	7	96634860	96640351	1	protein_coding	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]
4293	ENSG00000006432	MAP3K9	14	71189243	71276251	-1	protein_coding	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]
5898	ENSG00000006451	RALA	7	39663082	39747723	1	protein_coding	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]
55971	ENSG00000006453	BAIAP2L1	7	97920963	98030380	-1	protein_coding	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]
80853	ENSG00000006459	KDM7A	7	139784546	139876835	-1	protein_coding	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]
2115	ENSG00000006468	ETV1	7	13930853	14031050	-1	protein_coding	ets variant 1 [Source:HGNC Symbol;Acc:3490]
55750	ENSG00000006530	AGK	7	141250989	141355044	1	protein_coding	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]
221	ENSG00000006534	ALDH3B1	11	67776048	67796744	1	protein_coding	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]
55001	ENSG00000006555	TTC22	1	55245385	55266940	-1	protein_coding	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]
57157	ENSG00000006576	PHTF2	7	77428122	77586818	1	protein_coding	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:13411]
10344	ENSG00000006606	CCL26	7	75398851	75419214	-1	protein_coding	chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]
9855	ENSG00000006607	FARP2	2	242295658	242434256	1	protein_coding	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]
10083	ENSG00000006611	USH1C	11	17515442	17565963	-1	protein_coding	Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]
79017	ENSG00000006625	GGCT	7	30536237	30591095	-1	protein_coding	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]
10926	ENSG00000006634	DBF4	7	87505531	87538856	1	protein_coding	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]
6915	ENSG00000006638	TBXA2R	19	3594504	3606838	-1	protein_coding	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]
3475	ENSG00000006652	IFRD1	7	112063023	112121072	1	protein_coding	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]
56891	ENSG00000006659	LGALS14	19	40194946	40200084	1	protein_coding	lectin, galactoside-binding, soluble, 14 [Source:HGNC Symbol;Acc:30054]
1352	ENSG00000006695	COX10	17	13972813	14111994	1	protein_coding	cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]
9569	ENSG00000006704	GTF2IRD1	7	73868120	74016931	1	protein_coding	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:4661]
54623	ENSG00000006712	PAF1	19	39876492	39881835	-1	protein_coding	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]
27072	ENSG00000006715	VPS41	7	38762563	38971994	-1	protein_coding	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]
9912	ENSG00000006740	ARHGAP44	17	12692856	12894960	1	protein_coding	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]
60528	ENSG00000006744	ELAC2	17	12895708	12921504	-1	protein_coding	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]
85477	ENSG00000006747	SCIN	7	12610203	12693228	1	protein_coding	scinderin [Source:HGNC Symbol;Acc:21695]
414	ENSG00000006756	ARSD	X	2822011	2847392	-1	protein_coding	arylsulfatase D [Source:HGNC Symbol;Acc:717]
8228	ENSG00000006757	PNPLA4	X	7866288	7895780	-1	protein_coding	patatin-like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:24887]
8735	ENSG00000006788	MYH13	17	10201401	10276447	-1	protein_coding	myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:7571]
79602	ENSG00000006831	ADIPOR2	12	1797740	1897844	1	protein_coding	adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]
51265	ENSG00000006837	CDKL3	5	133541305	133706738	-1	protein_coding	cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:15483]
151531	ENSG00000007001	UPP2	2	158733214	158992666	1	protein_coding	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:23061]
10942	ENSG00000007038	PRSS21	16	2867164	2876305	1	protein_coding	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]
57787	ENSG00000007047	MARK4	19	45582546	45808541	1	protein_coding	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]
8842	ENSG00000007062	PROM1	4	15964699	16086001	-1	protein_coding	prominin 1 [Source:HGNC Symbol;Acc:9454]
115098	ENSG00000007080	CCDC124	19	18043825	18054800	1	protein_coding	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:25171]
90273	ENSG00000007129	CEACAM21	19	42055886	42093197	1	protein_coding	carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:28834]
5048	ENSG00000007168	PAFAH1B1	17	2496504	2588909	1	protein_coding	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:8574]
4843	ENSG00000007171	NOS2	17	26083792	26127525	-1	protein_coding	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]
1770	ENSG00000007174	DNAH9	17	11501748	11873065	1	protein_coding	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]
9703	ENSG00000007202	KIAA0100	17	26941458	26972472	-1	protein_coding	KIAA0100 [Source:HGNC Symbol;Acc:28960]
9058	ENSG00000007216	SLC13A2	17	26800311	26824799	1	protein_coding	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]
8522	ENSG00000007237	GAS7	17	9813926	10101868	-1	protein_coding	growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]
79090	ENSG00000007255	TRAPPC6A	19	45666186	45681495	-1	protein_coding	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]
4145	ENSG00000007264	MATK	19	3777971	3802127	-1	protein_coding	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:6906]
1087	ENSG00000007306	CEACAM7	19	42177235	42210895	-1	protein_coding	carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]
974	ENSG00000007312	CD79B	17	62006100	62009714	-1	protein_coding	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]
6329	ENSG00000007314	SCN4A	17	62015914	62050278	-1	protein_coding	sodium channel, voltage-gated, type IV, alpha subunit [Source:HGNC Symbol;Acc:10591]
54879	ENSG00000007341	ST7L	1	113066140	113163447	-1	protein_coding	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]
